name,other_names,official_no,type_at_loss,build_info,specs,date_of_loss,place_of_loss,lake,type_of_loss,loss_of_life_original,loss_of_life,carrying,detail,sources,media_notes,source_page,latitude,longitude,coord_confidence
SPARTA,built as FRANK W. HART renamed in 1929,121219,"propeller, steel, bulk freight","1902, American Ship Building, Lorain, OH hull #313","380x50x28, 4307g 3370n","1940, Nov 5","Mosquito Beach, 14 mi from Munising, MI",Superior,storm,none,none,iron ore,"She was driven ashore by a gale and broke her back. Partially scrapped in place, the remains of her hull was later towed to Sturgeon Bay, WI for use as a drydock.","mv,ns4,rkr,ms,gwgl,lss,is,mpl,eas",Image from HCGL,s,47.252416,-87.267975,estimated_from_place_text_lake_corrected
SPARTAN,renamed BELLEVILLE in 1905,C122070**,"sidewheel steamer, iron, passenger & package freight","1864, E. Gilbert, Montreal*","176x28x11, 1233gc 607nc","1883, Jun (22)",Caribou Isl.,Superior,storm,none,none,?,"She was stranded and wrecked after running on the rocks in fog and sliding out her full length. By the 27 th she had been declared a total loss, but she was recovered July 3 by the big wrecking tug WINSLOW. Owned by Richelieu & Ontario Navigation Co. *Reportedly prefabricated in Scotland, assembled in Montreal **given first official number in 1905 at rebuild. Also rebuilt in 1896 (lengthened 24′) and 1920. Broken up, 1922.","(csv),gwgl,lss,mv,mmgl,nsp",Image from GLMD,s,47.062993,-85.90223,geocoded_direct
J.M. SPAULDING,none,75796,"schooner, wood","1875, Manhattan, OH","89x22x6, 72g 68n","1905, Nov 28","3 mi above Ft. Gratiot, S end of lake",Huron,storm,none,none,?,She stranded and pounded to pieces. Her 4-man crew escaped in the vessel’s yawl. Owned and sailed by Capt. John Kirtendale.,"mv,slh,nsp,phr","Image from HCGL, showing her scow hull",s,44.45369,-82.474534,geocoded_lake_centroid
M.B. SPAULDING,none,16327,"barge, wood","1849, Jones & Bagnall, Buffalo as a propeller","140x26x13, 368 t.","1879, Sep (5)*","near Port Burwell, Ont.",Erie,storm,?,none,?,"Upbound in tow of the tug MAYFLOWER with three other barges, she was assaulted by a gale. The tow was broken up and the SPAULDING foundered in 12 feet of water. Despite the efforts of the powerful Canadian wrecker PRINCE ALFRED, she became a total loss and went to pieces over the summer. Sunk following a collision with the bark LOTTIE WOLF (qv) near Harrisville, MI, May 1869. $6000 damage. Burned and sank near Forester, MI, L. Huron, in June, 1860. An $11,000 loss, she was recovered, sold for $500 and rebuilt from a propeller to a barge at Marine City in 1863. Capsized and sank at Toledo in 1853 or 4 when her cargo of cattle stampeded. Sunk off Erie, PA in Aug, 1850. Rebuilt by Hitchcock at Buffalo in 1857 after burning to a supposed total loss at her dock at Buffalo. *May 10 often given, in error","mv,phr,slh,lhl,nsp,hgl,mpl,es,rsl,mdwl,eas,blu[1856]",,s,41.815954,-81.15356,estimated_from_place_text
THOMAS SPEAR,none,145216,"propeller tug, wood","1880, Thos. Spear, Sturgeon Bay, Wis","77x15x9, 56 t.","1880, Sep 24","off Carlton, Wis.",Michigan,fire,none,none,"two scows in tow, a few slabs on deck","Caught fire offshore, burned to the waterline and sank. Her crew escaped the blaze in her yawl. The hulk was later purchased and attempts were made to raise her and convert her to a barge, but they came to nothing. Out of Milwaukee, owned by Spear Bros., Sturgeon Bay. A new tug of the same name was built at Green Bay in 1882.","nsp,wmhs,wmn,bb,wgts,whs",,s,43.523371,-87.021923,geocoded_lake_centroid
F.V. SPECHT,none,C80579,"scow-schooner, wood, 2-mast","1857, Ferdinand Specht, Mt. Clemens, MI US#9211","62x19x4, 55g 55n","1888, Oct 24",2 mi below Windsor,Detroit R,“sank”,?,none,?,"No detail – probably a collision. Sold Canadian, 1884. Out of Windsor.","mv,h,win,mmgl,wl",,s,42.519551,-82.734613,geocoded_lake_centroid_lake_corrected
SPECULAR,none,115876,"propeller, wood, bulk freight","1882, G. Presley, Cleveland as a schooner","264x35x20, 1742g 1439n","1900, Aug 22","Pelee Passage, a few mi W of SE Shoal",Erie,collision,none of 18,none,"2,300 t. iron ore","Downbound from Marquette, she was a “hit & run” victim by the steamer DENVER and sank in 30 feet of water in only 6 minutes. 15 of her crew abandoned in her yawl, while 5 others were plucked from rigging by the propeller MARITANA. Salvagers worked on her continuously until they gave her up Sep 28. Owned by Republic Iron Co. of Cleveland. Master: Capt. Ed. Mooney. Wreck lies 3.16 mi SE from Pelee Passage light. The master of the DENVER was heavily sensured in the press, but he claimed that he did not believe that his vessel had struck the SPECULAR hard enough to sink her. Though many captains onsidered her a serious menace to navigation, the Canadian government did not, and contracted for her to be blown up the following spring. Rig changed from schooner to propeller in 1888.","mv,nsp,glp,gsgl,nsl,ledc,mpl,ew,hcgl",Image from GLMD,s,41.7897,-82.453398,estimated_from_place_text
SPEED,none,none,"scow-schooner, wood, 2-mast","1857, R. Granger, Detroit","69x20x3, 41 g, 36 n.","1864, Sep 21","off Harrisville, MI",Huron,storm,none,none,light,"She had arrived off Harrisville to pick up a load of lumber and was riding out a storm at anchor when her two chains parted and she was driven on the beach. She broke up quickly, a total l oss. Owned by Augustus Day, Detroit. Valued at about $1,000. Built as a “river scow.”","rsl,nsp",,s,43.917293,-81.736431,estimated_from_place_text_lake_corrected
SPEED,none,22357,"schooner, wood, 2-mast","1848, Lockwood, Madison, OH","97x21x8, 104 t.","1883, Apr 18","1/4 mile off Racine, WI",Michigan,storm,none of 5,none,lumber & shingles,"She was bound Pentwater for Racine in tow of the tug HENRY S. SILL when her towline broke and she drove ashore. She rolled over on her beam ends while the crew was being saved by the Lifesaving Service in a breeches’ buoy rescue, but all were still brought ashore. A large steam pump was on board her when she broke up a few days later. Out of Racine, owned by Joseph Walker Estate. Sunk in a collision in Kenosha Harbor in April, 1872. Sunk inside the harbor at Muskegon in 1855. Rebuilt 1868, 1881","mv,h,polk,hgl,usls,bb,nsp,wmn,wls,mr",,s,43.217764,-86.579939,estimated_from_place_text_lake_corrected
SPEED,none,57233,"scow-schooner, wood, 2-mast","1866, Natre, Detroit","59x17x5, 40g 38n","1894, Nov 26","near the harbor entrance at Racine, Wis",Michigan,storm,none of 3,none,lumber and shingles,"She stranded and sunk near the harbor mouth in a SE gale, her crew taking to the rigging after the small boat was torn loose. Her crew was soon rescued by the USLS.","mv,lmdc,hgl,bb,usls,nsp",,s,43.353151,-87.069051,estimated_from_place_text_lake_corrected
SPEEDWELL,none,C72961,"schooner, wood","1875, Geo. Dixon, Marysburgh, Ont","111x24x10, 181gc","1896, Jun 3",at Toronto,Ontario,fire,no one aboard,none,?,"Caught fire at her moorings and smoldered throughout the night. In the morning she was towed away from the dock by the tug FRANK JACKMAN and burned herself out. Though there was said to be only $800 damage to a boat valued at $3,500, she was later declared a total loss. Ashore in a storm at Braddock’s Bay, Lake Ontario in Nov, 1886.","wmn,nsp,jm,hgl,bb",,s,43.371354,-77.174108,estimated_from_place_text_lake_corrected
H.M.S.,none,Br none,"schooner, wood","1776, Simcoe, Cataraqui [Kingston]",80 ft. “small”,"1804, Oct 8","somewhere off Presqu’isle, Ont.",Ontario,storm,20 to 39,39,passengers,"Foundered in a blizzard and gale while enroute to Newcastle, Ont. with the principals in a murder trial and a number of Canadian V.I.P.s, she went down with little trace. She was rumored to be overloaded and was known to be unseaworthy anyway. Master: Capt. Lt Thos. Paxton (d). Rebuilt in 1792","csqw,is(1-76,1-86),tfgl,hgl,mpl",,s,43.591663,-76.962257,geocoded_lake_centroid_lake_corrected
GEORGE SPENCER,none,85819,"propeller, wood, bulk freight","1884, T. Quayle & Sons, Cleveland","213x37x19, 1361g 1083n","1905, Nov 28","off Sugar Loaf Landing, Little Marais, MN",Superior,storm,none,none,coal,"She was towing the barge AMBOY(qv) when struck by a gale. She cut the barge loose in an attempt to save both vessels, but both were driven ashore anyway. SPENCER was disabled quickly, but her crew made it to shore on a breeches’ buoy which had been rigged by local fishermen, directed by a SPENCER crewman who had come ashore hand over hand on a heaving line. She was later mostly removed, but remnants of the wreck are reportedly still on the site. Master: Capt. Conland or Couland. Owner: Tonawanda Iron & Steel Co. Buffalo.","mv,eas,ns1,nsp,lss,rf",Image from GLMD,s,47.168426,-87.487937,geocoded_lake_centroid
H. SPENCER,none,none,"schooner, wood","1847, Sackett’s Harbor",125 t.,"1867, Sep 25","off Grosse Point, Ill.",Michigan,collision,none,none,shingle bolts,"This schooner collided with the propeller EMPIRE STATE and was heavily damaged. Because of her cargo she did not sink, but still drifted ashore and became a total loss. In Oct, 1855, she left Muskegon for Chicago in a storm, but only made it as far as a bar off Muskegon harbor, where she hit and was later declared a total loss. Spencer had major repairs in 1857 and 1861","nsp,(rsl),wmn",,s,43.263527,-87.749183,estimated_from_place_text
SPOKANE,none,116104,"propeller, steel, bulk freight","1886, Globe Iron Works, Cleveland","312x38x21, 2356g 1975n","1912, Sep 16","Gull Rock, nrear Manitou Isl., off I. Royale",Superior,storm,none,none,?,"She was driven onto the rock pinnacle by a gale and broke in two. Declared total loss, but later recovered and rebuilt, lasting until 1935. Reportedly the first steel ship to operate on Lake Superior. First steel-hulled bulker.","mv,is(3-69),lm,gwgl,ns4,nsp,eas",Image from GLMD,s,47.023812,-87.37881,estimated_from_place_text_lake_corrected
SPORT,none,115152,"propeller tug, iron*","1873, F.E. Kirby, Wyandotte, MI","57x14x9, 45g 23n","1920, Dec 13","off Lexington, MI",Huron,storm,none,none,none,"Foundered. Out of Port Huron. A state historic site plaque was placed on her in the early 1990’s, the only underwater one. *also seen as steel hull, Merchant Vessels reports iron Major repair, 1880","mv,tv,steyrs,slh,lhl,phr,polk,mpl",Image from GLMD,s,43.888829,-82.521791,geocoded_off_place_lake_corrected
NOAH P. SPRAGUE,"none also seen as N.P. SPRAGUE, M.P. SPRAGUE",130038,"propeller steam tug, wood","1857, F.N. Jones, Buffalo*","106x20x9, 186g 93n","1884, Jul 23","off Pigeon Bay, near Rondeau",Erie,hull failure,none,none,none,"She was downbound from L’Anse, Michgam with a tow of ore-laden schooners, when she broke her shaft in Lake Huron. The entire tow, including the SPRAGUE, was taken over by the the tug WILCOX for the balance of the trip to Cleveland. In Pelee Passage SPRAGUE began to leak and within 15 minute she had sunk. Her crew was taken off by the WILCOX. Owned by Peter Smith of Cleveland. This was the company’s third tug loss of the year. Nearly destroyed by an explosion at the mouth of the Detroit River Nov 27, 1857, with 9 lives lost. Reported burned and a total loss in the summer of 1866. *’84 mvus shows her built 1874, but accounts of the wreck identify her as the 1857 vessel. Rebuilt, 1877.","mv,hgl,polk,clu,sol,h,lhl,nsp,mpl,es",,s,41.6496,-81.70922,estimated_from_place_text
J.,"built as J. R. SPRANKLE, renamed H. T. DIXON briefly in 1927, then J. R. SPRANKLE again in 1927",77138,"propeller tug, steel, oil screw","1894, Globe Iron Works, Cleveland","59x16x8, 44g 23n *","1956, Nov 21","off Avon Point, 7 mi NW of Cleveland",Erie,storm,none,none,none,"She foundered in a gale and was abandoned as a total loss. Owned by L. A Wells Const. Co. She lay on the bottom until recovered in Aug, 1962. She was then towed to Lorain, Oh, and allowed to sink. Recovered again in November and towed to Cleveland, where she was rebuilt. *1946 dimensions Sold Canadian in 1926, resold U.S. in 1927. Out of documentation between 1982 and 1988","mv,h,hcgl,mv",Image from GLMD,s,41.552962,-82.017226,estimated_from_place_text
SPRAY,none,22385,"scow-schooner, wood","1861, L. S. Bedford, Port Huron, MI*",48 t.,"1875, late May",15 miles off South Haven MI,Michigan,storm,3 [all],3,light,"Bound Racine for Holland, MI, she capsized in a squall. Her floating wreckage was later (May 30) come upon by the steamer HURON. Out of Holland, MI. *MAY have been the 2-mast scow-schooner built on the Huron, R, MI in 1853 by Enoch Seton: 79x22x7, 102 t. om.","hgl,h,nsp,wl,rsl",,s,42.351988,-86.483927,geocoded_direct
ELLEN SPRY,none,8983,"schooner, wood","1873, A.M. Spears, Little Sturgeon, WI","170 ft., 546g 518n","1886, Nov 6","reef near Skillagallee, Beaver Passage",Michigan,storm,none,none,"1,100 t. coal","Driven on the reef, she struck bottom and went to pieces in a SW gale. The value of the vessel and her cargo was about $28,000. Owned by Keith. Location also given as South Manitou Island. Some reportes say she sank in 500 feet of water.","mv,eas,slh,is,h,wb,nb,hgl,sb,mpl,es, mr",,s,43.35357,-86.734331,estimated_from_place_text_lake_corrected
JOHN SPRY,none,75599,"sidewheel packet, wood","1866, Sturgeon Bay, WI as a tug","92x15x4, 55g","1885, Nov 4","at Wrightstown, WI",Michigan,fire,none,none,none,Caught fire and was destroyed while docked at night three miles below Wrightstown.,"mv,is,hgl,wgts",Image from GLMD of vessel after damage from a tornado in 1877,s,43.510444,-86.952166,geocoded_lake_centroid
M. FANNIE STAFFORD,"also seen as FANNY STAFFORD, SPAFFORD",none,"propeller tug, wood","1863, Buffalo",42 t.,"1865, Jun 19","Chicago R., Chicago",Michigan,explosion,1 of 5,1,schooner in tow,"Towing a schooner down the Chicago R., she was suddenly destroyed by one of the most violent explosions ever seen in the city to that time. Master: Capt. James Ogden.","nsp,lhl,hgl",,s,43.676893,-87.105718,estimated_from_place_text_lake_corrected
M. STALKER,none sometimes seen as MALCOLM STALKER,17211,"schooner, wood, 2-mast","1863, H. Kelley, Milan, OH","135x25x11, 268g 254n","1886, Nov 5","2.3 mi NE of Old Mackinac Pt., Straits",Huron,collision,none,none,iron ore,"She was rammed and sunk by the schooner-barge WAUBASHENE in tow of steamer ISAAC MAY while lying at anchor off Mackinaw City. MAY kept on going and STALKER’s crew had to abandon her in her boat as they tried to drift her to shore. Out of Vermilion, OH, owned by A.P. Mowrey and M. Stalker. Master: Capt. Pelton. Rebuilt in 1875, 1885. Wreck located in 1967.","mv,ssm,nsp,slh,is,lhdc,hgl,mpl,es,ec",Image from GLMD,s,44.508605,-82.549775,geocoded_lake_centroid
H.G. STAMBACK,none also seen in error as H.G. STAMBACH,none,"brig, wood, 2-mast","1847, Conneaut, OH","82x22x9, 145 t. om","1857, Oct 25",North Manitou Isl. (also seen as South Manitou),Michigan,storm,? (some),none,?,"She capsized and was blown on a reef on west side of the island – later slipped into deep water. Upbound at the time of her loss. Capsized on Lake Erie in 1848 with loss of 3 lives and again off Fairport, OH, in 1849 with the loss of 3 more.","mv,hgl,lmdc,nb,nsp,wl,rnc,bcw,blu[57]",,s,43.44263,-86.748213,estimated_from_place_text_lake_corrected
N.M. STANDART,also seen in error as N.M. STANNARD,18090,"schooner-barge, wood, 2-mast","1854, William Treat, Euclid, OH as a brig","138x30x12, 331g","1880, Nov 18","5 miles E of Fairport, OH, harbor",Erie,storm,none of 6,none,lumber,"She was in tow of the steamer ONTONAGON with the barges JOSEPH, THEODORE PERRY, and MARY STOCKTON. ONTONAGON dropped the barges so she could fuel at Fairport, intending them to anchor. Instead they tried to make port, and STANDART was overwhelmed and driven on an offshore bar. Her crew was rescued by the Lifesaving Service, who had also tried to save the vessel by winching her over the bar. She finally drifted ashore and broke up. Bound Saginaw for Cleveland. Major repairs in 1863,64-5. Rebuilt in 1866. Sunk by a collision near N. Manitou in 1859. Capsized with the loss of two lives in the spring of 1859, near Fairport, OH. Collided with the steamer BRUNSWICK with heavy damage in September of 1854.","mv,phr,nsp,h,ledc,hgl,usls,rsl",,s,42.816704,-79.340803,estimated_from_place_text_lake_corrected
R.W. STANDLY,"none also seen as R. W. STANDLEY, and one source shows her as STANDBY",C none,"propeller, wood","1872, Simpson & Chisholm, Chatham, Ont.","136×24, 275 t.","1875, Oct 8","Dominion Wharf, Hamilton, Ont.",Ontario,fire,1?,1,?,"Destroyed at the dock by a fire. The propellers ZEALAND and BRISTOL and a pair of schooners also at the dock were saved only because it was a dead-still morning, without a breeze to spread the flames. Reg. out of Chatham. Hull may have been used to build ST. MAGNUS(qv)","win,csv,mmgl,ib",,s,43.354274,-77.298097,geocoded_lake_centroid_lake_corrected
STANLEY,"rebuilt as NADRO CLIPPER, later ASI CLIPPER",C156864,"steel fish tug, Kahlenberg diesel","1938, Port Colborn Iron Works, Port Colborne, Ont","60x16x4, 30 gc","1984, Apr 30",11 mi SSE of Port Dover,Erie,storm,3 of 3,3,"fishing gear, fish","She was caught in a full gale, reported locally as the most powerful storm to hit the area in 30 years. A distress call was sent at 2 pm and two fellow fish tugs rushed to her assistance, but she sank with all hands before help arrived. Owned by H. H. Misner Ltd. Of Port Dover. She was raised the following month and was later rebuilt as NADRO CLIPPER. She was still operating out of St. Catharines as ASI CLIPPER in 2010, mainly as a dive tug. Article on loss by Stan Morris [.pdf]","h,glmc,amh,hr",Image as NADRO CLIPPER,s,42.152225,-81.42278,exact
B.A. STANNARD,"also seen as B.A. STANDART and B.A. STANARD [before she was launched, her name was supposed to be LA SALLE]",none,"bark, wood, 3-mast","1856, Lafrinier & Stephenson, Cleveland","159x33x12, 603 t.",1864,"near Point Betsie, Mich",Michigan,collision,?,none,?,"She collided with an unreported vessel and sank. Capsized in a gale in 1859, near Rondeau, Ont. Major repairs in 1859,61& 62. Heavily damaged in a gale at Chicago in Nov., 1856.","hgl,sagl,nsp,wl,rsl,blu(56)",,s,42.910312,-87.700565,estimated_from_place_text
GALE STAPLES,"built as WILLIAM B. MORLEY, named CALEDONIA in 1892, last name in 1916",C134516,"propeller, wood, bulk freight","1888, Morley & Hill, Marine City US#81191","277x42x25, 2197gc 1293nc","1918, Oct 1",Au Sable Reef,Superior,storm,none,none,coal,"She was upbound when caught in a NW gale and driven on a reef, where she broke up. The U.S.Lifesaving Service took her crew off. Sold Canadian in 1916.","mv,ms,mol,gwgl,is,ns2,h,mmgl",Image from GLMD,s,46.980829,-87.187254,estimated_from_place_text
STAR,none,none,"sidewheel steamer, wood","1837, Belvedere, MI","108x18x7, 129 t. om","1845, Feb",at Buffalo,Erie,fire,none,none,?,She was destroyed by fire at her winter layup dock.,"lhl,hgl,is,nsp,wl,eas",,s,41.561277,-82.02629,exact
STAR,?,none,"schooner, wood","(1841, Oak Orchard, NY)",(30 t.),1852,Georgian Bay,Huron,storm,6,6,?,Foundered in a gale.,"slh,hgl not in mmgl",,s,43.63,-82.41,exact_lake_corrected
STAR,none,C,"schooner, wood","1873, Rathbun, Mill Pt., Ont",284 t.,"1878, Oct 22","at Charlotte, NY",Ontario,storm,none,none,"12,000 bu wheat","She went ashore in a storm and was wrecked. Her crew was rescued from her rigging by the Charlotte lifesaving crew. The vessel had been worth about $7,500. Out of Mill Point, Ont. Wrecked on the rocks while trying to pass the channel between the Ducks and Yorkshire Isl. in a blizzard, Dec, 1874. Her crew were taken off by an American vessel not named. In March of the following year a wrecking captain drove a team to her across the ice from Kingston to inspect her, and she is reported as being rebuilt that year. Shows on one source as existing at a later date.","es,clu,wmn,nsp",,s,43.782516,-76.892224,exact_lake_corrected
STAR,none,116109,"schooner, wood","1866, Au Gres, MI","44x13x3, 14gt 13 nt",1895?,unreported,unreported,(storm),?,none,?,"Document surrendered at Port Huron Custom House Feb 24, 1896, endorsed “wrecked.”","phr,vbs,hgl",,s,41.609242,-82.456618,exact
STAR NO.2,none,22392,"schooner-barge, wood, 2-mast","1856, Quayle & Martin, Cleveland","136x26x12, 276g","1886, Apr 1",Pelee Isl.,Erie,storm,none,none,lumber,"Tow of the prop BURLINGTON with the barge VANATTA, she broke loose and stranded. Thought to be a total loss, she was later recovered and towed to Detroit, but later articles from the same month describe her as a loss. Document surrendered in 1893 – stating she was “wrecked” – but no other information. Owned by Pickle. Major repair in 1863, 68; rebuilt at Algonac, 82","polk,phr,h,win,hgl,wl,es,nsp,mr",,s,41.53016,-82.544625,estimated_from_place_text
STAR OF THE NORTH,none,22360,"schooner, wood, 3-mast","1854, Spencer, Cleveland, OH [also given as Lafrinier & Stevenson]","123x25x9, 214g 203n","1903, Nov 16",near Manitou Islands,Michigan,storm,?,none,?,"She was driven on a reef by a gale and broke up. Sunk in Chicago harbor and given up for lost in September, 1866, extensively rebuilt after recovery. Severely damaged and sunk in a gale near Tawas in 1886. Sunk by ice while in tow of tug OSWEGO, Jun 2, 1888. Major repair in 1863","polk,mv,nsp,ns1",,s,43.401457,-87.229641,estimated_from_place_text_lake_corrected
N. STAR,none sometimes seen incorrectly as NORTH STAR,130310,"scow-schooner, wood, 2-mast","1884, Pinconning","34x10x3, 7g 6n",1896?,unreported,unreported,unreported,?,none,?,"No detail. Document surrendered at Port Huron 12/30/1896, annotated “wrecked.”","phr,vbs,mv",,s,41.697985,-82.014698,estimated_from_place_text
STARLIGHT,?,?,"sail yacht, in use as camp supply vessel",?,less than 50 ft.?,"1880, Sep 29","off AuTrain, MI",Superior,storm,5 [all],5,lumber camp supplies,"Went missing in a gale. A later report stated the boat was last seen at Sucker Bay, with the crew all intoxicated. Master: Capt. Elmo Lemong. Chartered to the Detroit, Mackinaw & Marquette RR.","ms,is,lss,net,lt",,s,47.280568,-87.536408,geocoded_lake_centroid
STARLIGHT,also seen as STAR-LIGHT,22390,"schooner, wood, 3-mast","1857, Kirby & Tripp*, Saginaw as a bark","134x30x11, 307g 292n","1883, Nov 17","near Goderich, Ont.",Huron,storm,4 [wrecking crew?],4,two large steam pumps plus ?,"She had gone on Cove Island while bound Midland, Ont. for St. Joseph Island. A fter a long and diffcult job in releasing her, she was bound down when she broke loose from the tug ANDREW J. SMITH in a tremendous gale and was lost. Master: Capt. Ed Mullins. Out of Chicago, owned by Hitchcock & Foster Rebuilt, 1867 at Detroit, rebuilt to a brig, 1873, and to a schooner in 1879 after being dismasted in a Lake Erie storm. *Martin Smith given on 1st enrollment document","polk,mv,slh,sbs,vbs,hgl,wl,es,nsp",,s,43.759598,-81.826682,estimated_from_place_text_lake_corrected
STARLIGHT,none,C90779,"propeller (tug), wood","1888, Jenking, Wallaceburg, Ont.","47x11x3, 16gc 11nc","1892, Sep 9","Massey Station, Georgian Bay",Huron,fire,4,4,none,She was destroyed by fire while lying dockside. Out of Windsor,"h,win,mmgl",,s,43.953733,-81.725888,estimated_from_place_text_lake_corrected
STARLIGHT,none,213072,gas screw freight vessel,"1915, I. Larsen, Menominee, Mich","49x15x5, 26g","1915, Nov 13",Green Bay,Michigan,fire,none,none,"potatoes, grain, apples and hay",Burned to a total loss in her first year of service. Owned by Larsen and Olsen of Marinette.,"mv,bb,wgts",,s,43.470959,-86.435605,estimated_from_place_text_lake_corrected
STARLING,none,C,"schooner, wood, 2-mast","1873, J. Tait, Sophiasburg, Ont.","108x25x10, 198cg","1884, Nov 15","Ghegheto Isl. NW of Wiarton, Ont",Huron,stranded,?,none,?,"Went ashore near the stranded wrecker WINSLOW of the Grummond Line of Detroit. The tug soon freed herself and moved to pull the STARLING off, in violation of salvage laws. Soon Canadian officials showed up on the Canadian wrecker INTERNATIONAL to arrest the tug but Capt Martin Swain of the WINSLOW made a run for it, eventually stoking her boiler with a barrel of pitch to boost her speed. She made it to American waters without exploding, but left much valuable wrecking gear behind on the schooner. STARLING was reported ashore and total loss on Marine Record wrecklist in January, 1885, but was probably recovered. Canadian registry list record closed 12/31/1897 saying she was “lost, wrecked or broken up.” Out of Picton.","mr,mmgl,hr",,s,44.452987,-82.512418,geocoded_lake_centroid
STARUCCA,none,115381,"propeller, wood, passenger & package freight","1875, Union Dry Dock, Buffalo","218x35x14, 1313g 1155n","1888, Nov 15","off Deer Park, MI",Superior,storm,none,none,"general merch, including railroad wheels","She was driven on a bar by an icy gale. She was thought to be in no danger, so her crew stayed aboard until she started to break up. Deer Park Lifesaving Service crew came to the rescue in a tiny surfboat and took the whole crew off in 3 trips, the last just before she broke up and sank. Bound Buffalo for Duluth. By mid-February of ’89, much of her ice-clad cargo had come ashore along the Michigan beach. Owned by Union Steamboat Co., Buffalo. Year of loss often given as 1887.","mv,polk,lssc,lss,nsp,gwgl,is,wb,hgl,mpl,eas,es3-2,bb, oo",Image from GLMD,s,46.727125,-86.045065,geocoded_direct
STATE OF MICHIGAN,"built as steamer DePERE, renamed in 1893",6849,"propeller, wood, passenger & package freight","1875, Rand & Burger, Manitowoc","165x29x10, 736g 640n","1901, Oct 18","several miles off mouth of White River, MI",Michigan,mechanical failure,none of 12,none,light,"Bound Muskegon to Manistee and several miles offshore, in good weather, she threw a piston rod through her hull and into the lake. Water rushed in through the hole, but her crew abandoned her to the tug McGRAFF before she sank. The tug took her in tow, but she went down soon after. Owned by the Barry Line. Master: Capt. Joseph Oliver. Rebuilt, 1883","ns1,rsh,mv,nsp,gsg,mpl —-——————————— STATE OF NEW YORK – See FLORIDA",Image from HCGL,s,43.218193,-86.438495,estimated_from_place_text_lake_corrected
STATE OF OHIO,?,none,"canal boat, wood",?,?,"1863, Jul 17","20 miles off Oswego, NY",Ontario,hull failure,?,none,“leeched ashes”,"In tow of the tug TORNADO, with six other canal boats, she sprang a leak and went down in deep water. The little fleet had been bound Kingston, Ont., for Oswego.",nsp,,s,43.452483,-77.070888,estimated_from_place_text_lake_corrected
STATE OF OHIO,"built as steamer CITY OF CLEVELAND, named CITY OF ALPENA in 1886, this name in 1893.",125808,"sidewheel steamer, iron, passenger & package freight","1880, Detroit Dry Dock, Wyandotte, MI hull# 71","225x32x13*, 1222g 917n","1924, May 20",at Cleveland,Erie,fire,1 or 2,2,?,"She burned to total loss at her dock. The iron hull was later recovered and converted to a bulk freight barge. The barge was sunk Dec 17, 1929 in the harbor at Lorain, OH. * width 71 ft over guards Engraving of vessel as CITY OF CLEVELAND from MHGL","mv,atl,nsp,sol,ns3,ledc,less,mpl,eas",,s,42.668928,-79.80613,estimated_from_place_text_lake_corrected
GEORGE STAUBER,none,85781,"propeller steam ferry, wood","1883, Buffalo as a tug","55x11x4, 43g 38n","1901, Aug 21",“Rapids” off Ft. Gratiot,St Clair R,collision,none,none,passengers,"She collided with the whaleback steamer ALEXANDER McDOUGALL through a misunderstanding of signals and sank in 60 feet of water, a total loss, when she tried to cross under the bows of the big steamer. Though the McDOUGALL did not stop, the steambarge IDA was able to rescue the crew and passengers. Document surrendered at Port Huron Aug 29, 1901, annotated “total loss by collision in the Rapids, 8-21-01.” Owned by Capt. Dennis Kerrigan of Port Huron, who was also her engineer. Master: Capt. Woods Two tugs of this name built at Buffalo, 1883 and 4.","phr,mv,polk,mpl,jb,nsp",,s,42.47488,-82.768451,geocoded_lake_centroid_lake_corrected
ROSA STEARNS,none also seen as ROSA STARNS,C none,"schooner, wood, 2-mast","1866, N. Woodward,* Port Rowan, Ont.","82x20x7, 100 t.","1871, Sep 6",at Cleveland,Erie,storm,none,none,194 t. coal,"Bound Cleveland for Port Stanley, she was driven against the lighthouse pier and wrecked by a gale. Her crew was able to jump to the pier before the vessel was pounded to matchwood. Out of Port Burwell, owned and sailed by Capt. John Collett. *Also given as Mathou & Co.","nsp,mmgl,clu,wl,wmn",,s,42.772858,-79.671514,estimated_from_place_text_lake_corrected
STEEL PRODUCTS,"built as VENUS, renamed in 1958",161876,"propeller crane ship, steel","1901, American Shipbuilding, Lorain, Oh. , hull no. 307","366x48x28, 3719g 2766n","1961, Oct. 26","near Pt. Abino, Ont.",Erie,storm,none,none,none,"She was in tow of the tug GEO. W. RODGERS, bound for scrapping, when she broke her towline in a storm. She went ashore and was holed, sinking in shallow water. Over the ensuing years she was scrapped in place though there are still significant remains at the site. Owned by Marine Salvage, Ltd, Port Colborne, who had just purchased her from Steel Products SS.","a&f,ewe",Image as STEEL PRODUCTS from HCGL,s,42.417552,-80.414794,estimated_from_place_text_lake_corrected
GEO. STEELE,also seen as GEORGE STEELE,10211,"schooner, wood","1855, Asa Wilcox, Three Mile Bay, NY","137x26x10, 271g 257n","1898, Oct (14)","near Oscoda, MI",Huron,storm,none mentioned,none,?,"Driven on an inshore reef by gale and broke up in place on the 22nd. Out of Chicago. Rebuilt 1878, major repair 1883","mv,polk,hgl,slh,lhdc,nsp",,s,44.409367,-83.120755,geocoded_near_at_lake_corrected
